id,price,flooring,available_units,towers,construction,ownership,emi,bed,bath,parking,area,costpersqft,flat_on_floor,total_floor,lift,balcony,lattitude,longitude,project_in_acres,builder,project_name,furnish,city,location,property_type,status,extra_rooms,facing,seller,price_category,overlooking,education_mean_km,education_min_km,education_within_2km,transport_mean_km,transport_min_km,transport_within_2km,shopping_centre_mean_km,shopping_centre_min_km,shopping_centre_within_2km,commercial_hub_mean_km,commercial_hub_min_km,commercial_hub_within_2km,hospital_mean_km,hospital_min_km,hospital_within_2km,tourist_mean_km,tourist_min_km,tourist_within_2km,overall_min_mean_km,overall_avg_mean_km,overall_min_min_km,overall_avg_min_km,total_within_2km
cardid73216467,0.53,ceramic tiles,1136.0,9.0,10 to 15 years,co-operative society,0.24,1.0,1.0,1.0,350.0,15143.0,3.0,4.0,,,19.0433416,73.0830985,12.0,cidco,vastu vihar,furnished,navi mumbai,sector 16 kharghar,resale,ready to move,none of these,south,person,0.00 - 0.99,garden/park,3.04,1.1,1,2.7600000000000002,1.9,1,4.12,2.3,0,6.0,2.3,0,,,0,,,0,2.7600000000000002,3.9800000000000004,1.1,1.9,2
cardid68979211,1.15,vitrified,140.0,1.0,5 to 10 years,freehold,0.52,2.0,2.0,1.0,580.0,19828.0,1.0,15.0,2.0,,19.1510197,72.9420879,2.2498,rite developers pvt. ltd.,rite advent,unfurnished,mumbai,bhandup west,resale,ready to move,store,east,realestateagent,1.00 - 1.99,"garden/park, main road",5.1000000000000005,0.4,1,6.0,1.7,1,4.4,0.9,1,8.15,6.0,0,0.7,0.7,1,,,0,0.7,4.87,0.4,1.94,4
cardid71060105,7.75,marble,,,5 to 10 years,freehold,3.5,4.0,3.0,2.0,1268.0,61120.0,9.0,13.0,3.0,,19.055229,72.830829,,supreme universal,supreme corner view,semi-furnished,mumbai,bandra west,resale,ready to move,,east,realestateagent,7.00 - 7.99,main road,3.3,0.4,3,,,0,2.8200000000000003,0.3,4,8.9,8.9,0,0.7,0.7,1,,,0,0.7,3.9299999999999997,0.3,2.5749999999999997,8
cardid69855029,3.9,marble,270.0,4.0,10 to 15 years,freehold,1.76,3.0,3.0,3.0,1200.0,32500.0,6.0,17.0,2.0,,19.17169932,72.87096822,2.0,lakshachandi realty,lakshachandi apartments,semi-furnished,mumbai,goregaon east,resale,ready to move,puja,,realestateagent,3.00 - 3.99,garden/park,5.050000000000001,4.7,0,,,0,4.25,0.8,1,4.0600000000000005,2.4,0,0.8,0.8,1,,,0,0.8,3.5400000000000005,0.8,2.1750000000000003,2
cardid72508961,5.75,vitrified,90.0,1.0,10 to 15 years,freehold,2.59,3.0,3.0,1.0,1250.0,46000.0,18.0,26.0,2.0,2.0,19.16697,72.83154,9.0,sharapova pvt. ltd.,sheth polaris,furnished,mumbai,bangur nagar,resale,ready to move,none of these,west,realestateagent,5.00 - 5.99,,4.866666666666666,0.6,1,8.7,7.6,0,2.08,0.1,4,4.66,1.7,2,0.3,0.1,3,,,0,0.3,4.121333333333333,0.1,2.0199999999999996,10
cardid73047737,0.52,vitrified,184.0,2.0,less than 5 years,freehold,0.23,1.0,2.0,1.0,400.0,13000.0,4.0,7.0,2.0,1.0,19.2610843,72.9567162,2.0,khade infrastructure pvt. ltd.,kipl morya,unfurnished,thane,kasarvadavali,resale,ready to move,none of these,north - east,realestateagent,0.00 - 0.99,"garden/park, main road",2.675,2.0,2,,,0,4.04,2.0,1,4.15,1.8,1,,,0,,,0,2.675,3.6216666666666666,1.8,1.9333333333333333,4
cardid59591407,12.0,"marbonite, mosaic, normal tiles/kotah stone, vitrified, wooden",180.0,,10 to 15 years,co-operative society,5.41,3.0,4.0,1.0,1615.0,74303.0,19.0,25.0,4.0,2.0,18.914452,72.820529,,delta realty,jolly maker apartment,semi-furnished,mumbai,cuffe parade,resale,ready to move,"puja, study, store, servant",south,realestateagent,10.00 - 14.99,"garden/park, main road",1.025,0.2,4,6.375,2.4,0,5.833333333333333,1.6,1,1.1666666666666667,0.2,2,,,0,,,0,1.025,3.6,0.2,1.1,7
cardid71911379,1.85,,64.0,1.0,5 to 10 years,co-operative society,0.83,4.0,4.0,,1120.0,16518.0,4.0,11.0,,8.0,18.9827941796088,73.0283018207987,1.0,balaji world,balaji amrit,unfurnished,navi mumbai,ulwe,resale,ready to move,,,person,1.00 - 1.99,main road,5.35,3.3,0,4.4,4.4,0,7.366666666666667,4.4,0,11.200000000000001,4.8,0,,,0,,,0,4.4,7.0791666666666675,3.3,4.2250000000000005,0
cardid35999413,1.75,,,,less than 5 years,,0.79,2.0,2.0,,875.0,20000.0,19.0,20.0,,1.0,19.1630920855215,72.8398088005091,,,,unfurnished,mumbai,goregaon west,resale,ready to move,,,person,1.00 - 1.99,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid71514681,0.36,ceramic tiles,,,10 to 15 years,co-operative society,0.16,1.0,1.0,,575.0,6261.0,3.0,4.0,,2.0,19.406335,72.839957,,,evershine city avenue 2,semi-furnished,palghar,vasai east,resale,ready to move,none of these,north,person,0.00 - 0.99,"garden/park, main road",10.2,10.2,0,11.5,9.8,0,13.45,11.6,0,23.35,17.8,0,,,0,,,0,10.2,14.625,9.8,12.350000000000001,0
cardid73055007,3.5,"vitrified, wooden",400.0,2.0,less than 5 years,co-operative society,1.58,3.0,3.0,2.0,1200.0,29167.0,20.0,42.0,5.0,1.0,19.205736,72.872531,2.0,sd corporation pvt. ltd.,alpine,semi-furnished,mumbai,"thakur village, kandivali east",resale,ready to move,puja,north,realestateagent,3.00 - 3.99,garden/park,2.55,0.5,1,2.45,1.8,1,1.7600000000000002,1.0,3,4.0,3.4,0,,,0,,,0,1.7600000000000002,2.69,0.5,1.6749999999999998,5
cardid72769449,1.85,,,,less than 5 years,,0.83,3.0,2.0,,1300.0,14231.0,1.0,4.0,,1.0,19.0895770412048,73.0135325367252,,,,unfurnished,navi mumbai,sector 26 vashi,resale,ready to move,,,person,1.00 - 1.99,main road,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid72001897,1.15,,,,,,0.52,1.0,2.0,,580.0,19828.0,5.0,8.0,,1.0,19.21231934,72.83961288,,,,unfurnished,mumbai,mahavir nagar kandivali west,resale,ready to move,,,person,1.00 - 1.99,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid71745263,3.05,,,,,freehold,1.38,3.0,3.0,,1110.0,27477.0,9.0,22.0,,1.0,19.1848724519187,72.8629697025013,,poonam housecon,vaishno heights,unfurnished,mumbai,malad east,new property,ready to move,store,east,realestateagent,3.00 - 3.99,garden/park,1.9333333333333333,0.9,2,,,0,1.1,0.6,5,2.6399999999999997,0.8,2,2.7,0.9,3,0.9,0.9,2,0.9,1.8546666666666667,0.6,0.82,14
cardid71934015,1.5,,,,new construction,,0.68,1.0,1.0,,450.0,33333.0,10.0,10.0,,,,,,,,unfurnished,mumbai,,new property,ready to move,,,realestateagent,1.00 - 1.99,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid72008271,2.35,vitrified,456.0,2.0,,freehold,1.06,2.0,2.0,1.0,656.0,35823.0,18.0,45.0,4.0,,19.1940346300819,72.8257561606587,2.0,sheth creators and sun vision,sheth irene,unfurnished,mumbai,malad west,resale,ready to move,store,,person,2.00 - 2.99,main road,4.25,0.4,1,,,0,1.58,0.7,3,7.033333333333334,5.6,0,1.1,0.7,2,0.7,0.7,1,0.7,2.9326666666666665,0.4,1.6199999999999999,7
cardid72278117,5.0,mosaic,,,above 20 years,freehold,2.26,2.0,2.0,,880.0,56818.0,1.0,12.0,,,18.973114013671875,72.80554962158203,,,,unfurnished,mumbai,breach candy,resale,ready to move,,north - west,person,5.00 - 5.99,garden/park,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid70303717,0.31,,,,5 to 10 years,,0.14,1.0,1.0,,450.0,6889.0,2.0,7.0,,1.0,19.34522501,72.82204029,,,,semi-furnished,palghar,naigaon,resale,ready to move,,,person,0.00 - 0.99,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid71030905,1.62,,,,under construction,,0.73,1.0,2.0,,405.0,40000.0,8.0,9.0,,,19.05522918701172,72.83082580566406,,,,unfurnished,mumbai,dadar west,resale,under construction,,,person,1.00 - 1.99,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid72865545,6.5,,,,10 to 15 years,co-operative society,2.93,5.0,5.0,,2830.0,22968.0,6.0,7.0,,5.0,19.17495346069336,72.94309997558594,,,,unfurnished,mumbai,mulund west,resale,ready to move,"puja, study",north - west,realestateagent,6.00 - 6.99,garden/park,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid69776831,2.8,"vitrified, marble, granite",,,5 to 10 years,freehold,1.26,3.0,3.0,2.0,1200.0,23333.0,8.0,14.0,2.0,,19.09051513671875,72.89801025390625,,,,semi-furnished,mumbai,shell colony,resale,ready to move,"puja, store",east,person,2.00 - 2.99,"garden/park, main road",,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid71383439,3.75,"vitrified, ceramic tiles, marble, granite",,,less than 5 years,freehold,1.69,3.0,3.0,,1084.0,34594.0,4.0,16.0,2.0,1.0,19.090517044067383,72.89801788330078,,,,semi-furnished,mumbai,ghatkopar east,resale,ready to move,"puja, store",north - east,person,3.00 - 3.99,"garden/park, main road",,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid72690581,3.2,"ceramic tiles, marble, granite",,,5 to 10 years,freehold,1.44,3.0,3.0,2.0,1169.0,27374.0,12.0,15.0,2.0,1.0,,,,,,semi-furnished,mumbai,shell colony,resale,ready to move,"puja, store",north - east,person,3.00 - 3.99,"garden/park, main road",,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid72328619,1.0,ceramic tiles,,,10 to 15 years,freehold,0.45,1.0,2.0,1.0,495.0,20202.0,5.0,8.0,2.0,,19.205900192260742,72.83179473876953,,,,furnished,mumbai,sector 9 charkop,resale,ready to move,,east,person,1.00 - 1.99,garden/park,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid72595609,0.47,,,,new construction,co-operative society,0.21,1.0,1.0,,290.0,16207.0,17.0,17.0,,1.0,19.145967483520508,73.24844360351562,,,,unfurnished,thane,ghodbunder road,resale,ready to move,,north,person,0.00 - 0.99,"garden/park, main road",,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid72426375,1.55,vitrified,,,new construction,co-operative society,0.7,2.0,2.0,1.0,705.0,21986.0,17.0,18.0,2.0,3.0,19.145984649658203,73.24848175048828,,,,unfurnished,thane,bhaskar colony,resale,ready to move,,east,person,1.00 - 1.99,main road,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid72147781,0.8,vitrified,,,less than 5 years,freehold,0.36,2.0,2.0,,600.0,13333.0,,,,,18.981767654418945,73.0255355834961,,,,unfurnished,navi mumbai,sector 2 ulwe,resale,ready to move,,north - west,person,0.00 - 0.99,main road,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid71184875,1.5,"vitrified, marble, granite",,,less than 5 years,co-operative society,0.68,2.0,2.0,,545.0,27523.0,13.0,16.0,2.0,,19.090526580810547,72.89801788330078,,,,unfurnished,mumbai,nehru nagar kurla,new property,ready to move,store,east,person,1.00 - 1.99,"garden/park, main road",,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
