id,builder,project_name,project_in_acres,location,city,lattitude,longitude,property_type,status,construction,ownership,flat_on_floor,total_floor,furnish,area,bed,bath,balcony,lift,parking,overlooking,facing,flooring,extra_rooms,available_units,towers,costpersqft,emi,price_category,price,education_mean_km,education_min_km,education_within_2km,transport_mean_km,transport_min_km,transport_within_2km,shopping_centre_mean_km,shopping_centre_min_km,shopping_centre_within_2km,commercial_hub_mean_km,commercial_hub_min_km,commercial_hub_within_2km,hospital_mean_km,hospital_min_km,hospital_within_2km,tourist_mean_km,tourist_min_km,tourist_within_2km,overall_min_mean_km,overall_avg_mean_km,overall_min_min_km,overall_avg_min_km,total_within_2km,seller
cardid73143535,,,,devki nagar,mumbai,19.2427737312525,72.8459691409693,new property,under construction,under construction,co-operative society,12.0,21.0,unfurnished,706.0,2.0,2.0,,2.0,1.0,main road,east,vitrified,none of these,,,29887.0,0.95,2.00 - 2.99,2.11,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid72771827,ana realty,ana avant garde,5.0,mira road area,thane,19.2829267647424,72.8627883689306,resale,ready to move,new construction,freehold,15.0,22.0,unfurnished,840.0,2.0,2.0,2.0,,,"garden/park, main road",east,,puja,176.0,2.0,14881.0,0.56,1.00 - 1.99,1.25,10.2,10.2,0.0,1.4,1.4,1.0,6.5,1.7,1.0,13.166666666666666,10.7,0.0,0.9,0.9,1.0,,,,0.9,6.433333333333333,0.9,4.98,3.0,realestateagent
cardid72213713,,,,new mhb colony,mumbai,19.2271442,72.83931947,resale,ready to move,new construction,freehold,13.0,22.0,unfurnished,800.0,2.0,2.0,1.0,,,"garden/park, main road",east,,,,,31250.0,1.13,2.00 - 2.99,2.5,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid71404507,hubtown ltd.,hubtown seasons,10.0,chembur,mumbai,19.0459181155422,72.8975231581492,resale,ready to move,new construction,freehold,1.0,13.0,semi-furnished,1175.0,3.0,3.0,,3.0,1.0,"garden/park, main road",north - east,vitrified,none of these,298.0,5.0,33191.49,1.76,3.00 - 3.99,3.9,2.25,1.3,3.0,,,,5.033333333333333,2.7,0.0,7.26,1.5,1.0,,,,1.5,1.5,2.0,1.5,4.010833333333333,1.3,1.75,6.0,realestateagent
cardid71293645,,,,juhu,mumbai,19.098268508911133,72.83351135253906,resale,ready to move,5 to 10 years,freehold,4.0,4.0,semi-furnished,4801.0,4.0,4.0,,2.0,4.0,,north - east,marble,none of these,,,87482.0,18.94,20.00 and above,42.0,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid72571837,lodha group,lodha bellevue,2.0,byculla,mumbai,18.9763051806034,72.8384452613639,new property,under construction,under construction,,-1.0,57.0,unfurnished,1111.0,3.0,2.0,1.0,,2.0,,,,,450.0,2.0,51000.0,2.56,5.00 - 5.99,5.66,1.1800000000000002,0.5,4.0,0.6,0.6,1.0,2.7,2.5,0.0,4.2,1.4,1.0,,,,,,,0.6,2.17,0.5,1.25,6.0,realestateagent
cardid73122273,,,,powai,mumbai,19.1196773,72.9050809,resale,ready to move,5 to 10 years,freehold,6.0,18.0,unfurnished,788.0,2.0,2.0,,2.0,1.0,main road,north - east,"granite, vitrified",none of these,,,36675.0,1.3,2.00 - 2.99,2.89,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid72776157,,,,usarli khurd,navi mumbai,18.9778545805204,73.139208979943,new property,under construction,under construction,freehold,4.0,4.0,unfurnished,380.0,1.0,2.0,2.0,1.0,2.0,"garden/park, main road",east,vitrified,none of these,,,6821.0,0.12,0.00 - 0.99,0.259,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
cardid71732885,,,,dahanukar wadi,mumbai,19.205114364624023,72.84220123291016,resale,ready to move,15 to 20 years,freehold,5.0,6.0,unfurnished,560.0,1.0,1.0,2.0,,,"garden/park, main road",,"vitrified, ceramic tiles",puja,,,15893.0,0.4,0.00 - 0.99,0.89,,,,,,,,,,,,,,,,,,,,,,,0.0,person
cardid72997203,,,,shimpoli,mumbai,19.2220702297856,72.8430757170691,resale,ready to move,less than 5 years,co-operative society,16.0,16.0,unfurnished,650.0,2.0,2.0,3.0,2.0,1.0,main road,east,vitrified,none of these,,,25846.0,0.76,1.00 - 1.99,1.68,,,,,,,,,,,,,,,,,,,,,,,0.0,realestateagent
